Rank,Year,Position,Name,Age,Games,Plate_Appearances,At_Bats,Runs,Hits,Doubles,Triples,Home_Runs,Runs_Batted_In,Stolen_Bases,Caught_Stealing,Base_On_Balls,Strikeouts,Batting_Average,On_Base_Percentage,Slugging_Percentage,On_Base_Plus_Slugging_Percentage,On_Base_Plus_Slugging_Percentage_Plus,Total_Bases,Double_Plays_Grounded_Into,Times_Hit_By_Pitch,Sacrifice_Hits,Sacrifice_Flies,Intentional_Bases_on_Balls,Dominant_Hand,Switch_Hitter
1,2023,C,J.T. Realmuto,32,135,540,489,70,123,28,5,20,63,16,5,35,138,0.252,0.31,0.452,0.762,106,221,10,9,0,5,3,Right,No
2,2023,1B,Kody Clemens,27,47,148,139,15,32,7,0,4,13,0,0,8,40,0.23,0.277,0.367,0.644,75,51,1,1,0,0,0,Left,No
3,2023,2B,Bryson Stott,25,151,640,585,78,164,32,2,15,62,31,3,39,100,0.28,0.329,0.419,0.747,104,245,10,7,1,8,1,Left,No
4,2023,SS,Trea Turner,30,155,691,639,102,170,35,5,26,76,30,0,45,150,0.266,0.32,0.459,0.778,111,293,12,6,0,1,2,Right,No
5,2023,3B,Alec Bohm,26,145,611,558,74,153,31,0,20,97,4,1,42,94,0.274,0.327,0.437,0.765,108,244,23,5,0,6,1,Right,No
6,2023,LF,Kyle Schwarber,30,160,720,585,108,115,19,1,47,104,0,2,126,215,0.197,0.343,0.474,0.817,122,277,4,6,0,3,5,,No
7,2023,CF,Brandon Marsh,25,133,472,404,58,112,25,6,12,60,10,2,59,144,0.277,0.372,0.458,0.829,127,185,4,4,1,4,2,Left,No
8,2023,RF,Nick Castellanos,31,157,671,626,79,170,37,2,29,106,11,2,36,185,0.272,0.311,0.476,0.788,112,298,17,3,0,6,0,Right,No
9,2023,DH,Bryce Harper,30,126,546,457,84,134,29,1,21,72,,3,80,119,0.293,0.401,0.499,0.9,146,228,,5,0,4,8,Left,No
10,2023,3B,Edmundo Sosa,27,104,300,279,34,70,15,2,10,30,4,2,8,74,0.251,0.293,0.427,0.719,95,119,10,9,2,1,0,Right,No
11,2023,LF,Jake Cave,30,65,203,184,18,39,8,1,5,21,3,0,15,55,0.212,0.272,0.348,0.62,69,64,3,1,1,2,0,Left,No
12,2023,CF,Johan Rojas,22,59,164,149,24,45,9,2,2,23,14,1,5,42,0.302,0.342,0.43,0.771,111,64,1,4,6,0,0,Right,No
13,2023,C,Garrett Stubbs,30,41,125,113,15,23,4,1,1,12,2,0,9,29,0.204,0.274,0.283,0.557,54,32,0,2,1,0,0,Left,No
14,2023,UT,Josh Harrison,35,40,114,103,8,21,3,0,2,10,0,0,3,20,0.204,0.263,0.291,0.554,53,30,2,6,0,2,0,Right,No
15,2023,OF,Cristian Pache,24,48,95,84,12,20,7,1,2,11,2,3,10,27,0.238,0.319,0.417,0.736,100,35,1,0,1,0,0,Right,No
16,2023,1B,Darick Hall,27,18,56,54,2,9,1,0,1,3,0,0,2,18,0.167,0.196,0.241,0.437,20,13,2,0,0,0,0,Left,No
17,2023,IF,Rodolfo Castro,24,14,32,30,2,3,0,0,0,2,0,0,2,12,0.1,0.156,0.1,0.256,-27,3,0,0,0,0,0,Right,Yes
18,2023,CI,Drew Ellis,27,12,29,23,4,5,0,0,2,4,0,1,6,7,0.217,0.379,,0.858,134,11,0,0,0,0,0,Right,No
19,2023,OF,Dalton Guthrie,27,23,28,24,4,4,1,0,0,0,0,0,3,7,0.167,0.286,0.208,0.494,40,5,0,1,0,0,0,Right,No
20,2023,UT,Weston Wilson,28,8,22,16,5,5,0,0,1,2,3,1,6,5,0.313,0.5,0.5,1,177,8,0,0,0,0,0,Right,No
21,2023,P,Michael Plassmeyer,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
22,2023,P,McKinley Moore,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
23,2023,P,Dylan Covey,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
24,2023,P,Cristopher Sánchez,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
25,2023,P,Michael Lorenzen,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
26,2023,P,Jeff Hoffman,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
27,2023,P,Craig Kimbrel,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
28,2023,P,Ranger Suárez,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
29,2023,P,Andrew Vasquez,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
30,2023,P,Andrew Bellatti,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
31,2023,P,Matt Strahm,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
32,2023,P,Aaron Nola,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
33,2023,P,Connor Brogdon,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
34,2023,P,Erich Uelmen,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
35,2023,P,Yunior Marte,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
36,2023,P,José Alvarado,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
37,2023,P,Orion Kerkering,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
38,2023,P,Bailey Falter,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
39,2023,P,Zack Wheeler,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
40,2023,P,Gregory Soto,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
41,2023,P,Nick Nelson,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
42,2023,P,Seranthony Domínguez,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
43,2023,P,Taijuan Walker,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,Yes
44,2023,P,Luis Ortiz,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
1,2022,C,J.T. Realmuto,31,139,562,504,75,139,26,5,22,84,21,1,41,119,0.276,0.342,0.478,0.82,130,241,7,12,0,5,1,Right,No
2,2022,1B,Rhys Hoskins,29,156,672,589,81,145,33,2,30,79,2,1,72,169,0.246,0.332,0.462,0.794,123,272,12,6,0,4,0,Right,No
3,2022,2B,Jean Segura,32,98,387,354,45,98,9,0,10,33,13,6,25,58,0.277,0.336,0.387,0.723,105,137,16,7,0,1,1,Right,No
4,2022,SS,Bryson Stott,24,127,466,427,58,100,19,2,10,49,12,4,36,89,0.234,0.295,0.358,0.653,85,153,3,1,1,1,0,Left,No
5,2022,3B,Alec Bohm,25,152,631,586,79,164,24,3,13,72,2,3,31,110,0.28,0.315,0.398,0.713,101,233,18,4,0,10,1,Right,No
6,2022,LF,Kyle Schwarber,29,155,669,577,100,126,21,3,46,94,10,1,86,200,0.218,0.323,0.504,0.827,131,291,10,4,0,2,3,Left,No
7,2022,CF,Matt Vierling,25,117,357,325,41,80,12,2,6,32,7,4,23,70,0.246,0.297,0.351,0.648,84,114,7,3,0,6,0,Right,No
8,2022,RF,Nick Castellanos,30,136,558,524,56,138,27,0,13,62,7,1,29,130,0.263,0.305,0.389,0.694,96,204,15,3,0,2,0,Right,No
9,2022,DH,Bryce Harper,29,99,426,370,63,106,28,1,18,65,11,4,46,87,0.286,0.364,0.514,0.877,146,190,13,3,0,7,9,Left,No
9,2022,DH,Bryce Harper,29,99,426,370,63,106,28,1,18,65,11,4,46,87,0.286,0.364,0.514,0.877,146,190,13,3,0,7,9,Left,No
10,2022,SS,Didi Gregorius,32,63,232,214,17,45,9,4,1,19,1,0,13,36,0.21,0.263,0.304,0.567,61,65,0,3,0,2,0,Left,No
11,2022,CF,Odúbel Herrera,30,62,197,185,23,44,9,1,5,21,6,0,11,42,0.238,0.279,0.378,0.658,85,70,3,0,0,1,0,Left,No
12,2022,SS,Johan Camargo,28,52,166,152,8,36,3,0,3,15,0,0,13,37,0.237,0.297,0.316,0.613,75,48,1,0,1,0,0,Right,Yes
13,2022,DH,Darick Hall,26,41,142,136,19,34,8,1,9,16,0,0,5,44,0.25,0.282,0.522,0.804,122,71,3,1,0,0,0,Left,No
14,2022,CF,Brandon Marsh,24,41,138,132,15,38,9,2,3,15,2,2,6,41,0.288,0.319,0.455,0.773,117,60,2,0,0,0,0,Left,No
15,2022,C,Garrett Stubbs,29,46,121,106,19,28,4,1,5,16,2,0,14,30,0.264,0.35,0.462,0.812,129,49,2,0,1,0,0,Left,No
16,2022,UT,Nick Maton,25,34,85,72,13,18,2,1,5,17,0,0,10,29,0.25,0.341,0.514,0.855,139,37,0,1,0,2,0,Left,No
17,2022,UT,Yairo Muñoz,27,29,60,57,7,12,2,0,3,7,1,0,3,10,0.211,0.25,0.404,0.654,82,23,0,0,0,0,0,Right,No
18,2022,IF,Edmundo Sosa,26,25,59,54,9,17,7,1,2,13,3,0,1,12,0.315,0.345,0.593,0.937,160,32,3,2,1,1,0,Right,No
19,2022,CF,Mickey Moniak,24,18,50,46,4,6,1,0,0,2,0,0,3,19,0.13,0.184,0.152,0.336,-3,7,0,0,1,0,0,Left,No
20,2022,CF,Roman Quinn,29,23,40,37,8,6,1,0,0,3,4,1,3,15,0.162,0.225,0.189,0.414,20,7,0,0,0,0,0,Right,Yes
21,2022,UT,Dalton Guthrie,26,14,28,21,3,7,0,0,1,5,1,0,6,7,0.333,0.5,0.476,0.976,180,10,0,1,0,0,0,Right,No
22,2022,CF,Bradley Zimmer,29,9,16,16,4,4,1,0,0,0,0,0,0,4,0.25,0.25,0.313,0.563,59,5,0,0,0,0,0,Left,No
23,2022,CF,Símon Muzziotti,23,9,9,7,0,1,0,0,0,0,0,0,0,2,0.143,0.25,0.143,0.393,16,1,0,1,1,0,0,Left,No
24,2022,DH,Donny Sands,26,3,4,3,0,0,0,0,0,0,0,0,1,1,0,0.25,0,0.25,-20,0,1,0,0,0,0,Right,No
25,2022,CF,Óscar Mercado,27,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,Right,No
26,2022,2B,Scott Kingery,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
27,2022,P,José Alvarado,27,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,Left,No
28,2022,P,Noah Syndergaard,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
29,2022,P,Michael Plassmeyer,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
30,2022,P,Corey Knebel,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
31,2022,P,Sam Coonrod,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
32,2022,P,Kyle Gibson,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
33,2022,P,Jeurys Familia,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
34,2022,P,Cristopher Sánchez,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
35,2022,P,James Norwood,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
36,2022,P,Francisco Morales,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
37,2022,P,Nick Duron,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
38,2022,P,Chris Devenski,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
39,2022,P,Ranger Suárez,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
40,2022,P,Tyler Cyr,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
41,2022,P,Damon Jones,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
42,2022,P,JoJo Romero,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
43,2022,P,Andrew Bellatti,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
44,2022,P,Mark Appel,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
45,2022,P,Aaron Nola,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
46,2022,P,Connor Brogdon,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
47,2022,P,Brad Hand,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
48,2022,P,Zach Eflin,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
49,2022,P,Bailey Falter,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
50,2022,P,Zack Wheeler,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
51,2022,P,Bubby Rossman,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,Yes
52,2022,P,Nick Nelson,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
53,2022,P,Seranthony Domínguez,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
54,2022,P,Vinny Nittoli,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
55,2022,P,David Robertson,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
56,2022,P,Michael Kelly,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
1,2021,C,J.T. Realmuto,30,134,537,476,64,125,25,4,17,73,13,3,48,129,0.263,0.343,0.439,0.782,110,209,8,11,0,2,5,Right,No
2,2021,1B,Rhys Hoskins,28,107,443,389,64,96,29,0,27,71,3,2,47,108,0.247,0.334,0.53,0.864,129,206,7,5,0,2,0,Right,No
3,2021,2B,Jean Segura,31,131,567,514,76,149,27,3,14,58,9,3,39,78,0.29,0.348,0.436,0.784,111,224,16,9,1,4,3,Right,No
4,2021,SS,Didi Gregorius,31,103,408,368,35,77,16,2,13,54,,0,25,67,0.209,0.27,0.37,0.639,71,136,8,8,0,7,1,Left,No
5,2021,3B,Alec Bohm,24,115,417,380,46,94,15,0,7,47,4,0,31,111,0.247,0.305,0.342,0.647,75,130,12,2,0,4,0,Right,No
6,2021,LF,Andrew McCutchen,34,144,574,482,78,107,,1,27,80,6,1,81,132,0.222,0.334,0.444,0.778,109,214,10,4,0,7,2,Right,No
7,2021,CF,Odúbel Herrera,29,124,492,450,59,117,27,2,13,51,6,1,29,77,0.26,0.31,0.416,0.726,95,187,6,6,1,5,0,Left,No
8,2021,RF,Bryce Harper,28,141,599,488,101,151,42,1,35,84,13,3,100,134,0.309,0.429,0.615,1.044,179,300,12,5,2,4,14,Left,No
9,2021,1B,Brad Miller,31,140,377,331,53,75,9,3,20,49,3,0,45,112,0.227,0.321,0.453,0.774,107,150,7,1,0,0,2,Left,No
10,2021,IF,Ronald Torreyes,28,111,344,318,30,77,10,1,7,41,2,1,19,,0.242,0.286,0.346,0.632,71,110,7,1,5,1,2,Right,No
11,2021,C,Andrew Knapp,29,62,159,145,13,22,3,0,2,11,0,0,10,61,0.152,0.215,0.214,0.429,17,31,1,2,1,1,0,Right,Yes
12,2021,CF,Travis Jankowski,30,76,157,131,24,33,6,2,1,10,5,0,22,29,0.252,0.364,0.351,0.715,96,46,1,1,2,0,4,Left,No
13,2021,MI,Nick Maton,24,52,131,117,16,30,7,1,2,14,2,0,10,39,0.256,0.323,0.385,0.708,91,45,0,2,1,1,0,Left,No
14,2021,IF,Freddy Galvis,31,32,120,107,17,24,3,0,5,14,0,0,9,19,0.224,0.292,0.393,0.684,84,42,1,2,0,2,0,Right,Yes
15,2021,UT,Luke Williams,24,58,108,98,8,24,4,0,1,6,2,2,10,23,0.245,0.315,0.316,0.631,72,31,2,0,0,0,0,Right,No
16,2021,UT,Matt Vierling,24,34,77,71,11,23,3,1,2,6,2,0,4,20,0.324,0.364,0.479,0.843,126,34,1,1,0,1,1,Right,No
17,2021,OF,Matt Joyce,36,43,69,55,6,5,1,0,2,7,0,0,12,16,0.091,0.261,0.218,0.479,32,12,2,1,0,1,2,Left,No
18,2021,OF,Roman Quinn,28,28,62,52,8,9,2,2,0,2,4,3,6,19,0.173,0.306,0.288,0.595,63,15,0,4,0,0,0,Right,Yes
19,2021,C,Rafael Marchán,22,20,56,52,7,12,1,1,1,4,0,0,4,10,0.231,0.286,0.346,0.632,71,18,1,0,0,0,0,Right,Yes
20,2021,OF,Mickey Moniak,23,21,37,33,3,3,0,0,1,3,0,0,3,16,0.091,0.167,0.182,0.348,-5,6,0,0,1,0,1,Left,No
21,2021,OF,Adam Haseley,25,9,21,21,2,4,1,0,0,0,0,0,0,4,0.19,0.19,0.238,0.429,16,5,0,0,0,0,0,Left,No
22,2021,UT,Scott Kingery,27,15,19,19,1,1,0,0,0,0,0,0,0,12,0.053,0.053,0.053,0.105,-71,1,0,0,0,0,0,Right,No
23,2021,OF,Jorge Bonifacio,28,7,12,11,0,1,0,0,0,2,0,0,1,6,0.091,0.167,0.091,0.258,-27,1,0,0,0,0,0,Right,No
24,2021,P,Zack Wheeler,31,32,73,68,1,11,2,0,0,3,0,0,0,39,0.162,0.162,0.191,0.353,-5,13,1,0,5,0,0,Left,No
25,2021,P,Aaron Nola,28,31,63,49,5,7,2,0,0,4,0,0,6,29,0.143,0.232,0.184,0.416,15,9,0,0,7,1,0,Right,No
26,2021,P,Zach Eflin,27,17,37,29,1,0,0,0,0,1,0,0,1,15,0,0.065,0,0.065,-80,0,0,1,6,0,0,Right,No
27,2021,P,Kyle Gibson,33,12,28,27,3,4,0,0,1,2,,0,0,9,0.148,0.148,0.259,0.407,8,7,0,0,1,0,0,Right,No
28,2021,P,Vince Velasquez,29,20,26,22,0,2,0,0,0,2,0,0,1,9,0.091,0.13,0.091,0.221,-38,2,0,0,3,0,0,Right,No
29,2021,P,Ranger Suárez,25,35,23,16,2,3,2,0,0,1,0,0,1,5,0.188,0.278,0.313,0.59,60,5,0,1,5,0,0,Left,No
30,2021,P,Matt Moore,32,22,20,19,0,0,0,0,0,0,0,0,0,13,0,0,0,0,-100,0,0,0,1,0,0,Left,No
31,2021,P,Chase Anderson,33,13,14,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,-100,0,0,0,3,0,0,Right,No
32,2021,P,Spencer Howard,24,10,7,6,0,2,1,0,0,0,0,0,0,3,0.333,0.333,0.5,0.833,122,3,0,0,1,0,0,Right,No
33,2021,P,Bailey Falter,24,21,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,-100,0,0,0,0,0,0,Right,No
34,2021,P,Sam Coonrod,28,40,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,Right,No
35,2021,P,Adonis Medina,24,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,Right,No
36,2021,P,Hans Crouse,22,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,Left,No
37,2021,P,Archie Bradley,28,49,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,Right,No
38,2021,P,Hector Neris,32,70,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,Right,No
39,2021,P,Ramón Rosso,25,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Right,No
40,2021,P,J.D. Hammer,26,19,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,Right,No
41,2021,P,David Hale,33,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
42,2021,P,Cristopher Sánchez,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
43,2021,P,Damon Jones,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
44,2021,P,JoJo Romero,24,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
45,2021,P,Neftalí Feliz,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
46,2021,P,Kyle Dohy,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
47,2021,P,Connor Brogdon,26,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
48,2021,P,Ian Kennedy,36,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
49,2021,P,Mauricio Llovera,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
50,2021,P,José Alvarado,26,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Left,No
51,2021,P,Brandon Kintzler,36,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
52,2021,P,Cam Bedrosian,29,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
53,2021,P,Enyel De Los Santos,25,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
54,2021,P,Seranthony Domínguez,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,Right,No
55,2021,P,David Paulino,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Right,No
1,2020,C,J.T. Realmuto,29,47,195,173,33,46,6,0,11,32,4,1,16,48,0.266,0.349,0.491,0.84,124,85,3,6,0,0,0,Right,No
2,2020,1B,Rhys Hoskins,27,41,185,151,35,37,9,0,10,26,1,0,29,43,0.245,0.384,0.503,0.887,138,76,4,5,0,0,0,Right,No
3,2020,2B,Jean Segura,30,54,217,192,28,51,5,2,7,25,2,2,23,45,0.266,0.347,0.422,0.769,107,81,6,1,1,0,2,Right,No
4,2020,SS,Didi Gregorius,30,60,237,215,34,61,10,2,10,40,3,2,15,28,0.284,0.339,,0.827,120,105,4,4,1,2,3,Left,No
5,2020,3B,Alec Bohm,23,44,180,160,24,54,11,0,4,23,1,1,16,36,0.338,0.4,0.481,0.881,137,77,4,2,0,2,0,Right,No
6,2020,LF,Andrew McCutchen,33,57,241,217,32,55,9,0,10,34,4,0,22,48,0.253,0.324,0.433,0.757,102,94,4,1,0,1,0,Right,No
7,2020,CF,Roman Quinn,27,41,116,108,14,23,3,1,2,7,12,0,5,39,0.213,0.261,0.315,0.576,55,34,0,2,1,0,0,Right,Yes
8,2020,RF,Bryce Harper,27,58,244,190,41,51,9,2,13,33,8,2,49,43,0.268,0.42,0.542,0.962,158,103,5,2,1,2,8,Left,No
9,2020,DH,Phil Gosselin,31,39,102,92,14,23,5,0,3,12,0,0,10,27,0.25,0.324,0.402,0.726,95,37,3,0,0,0,1,Right,No
10,2020,2B,Scott Kingery,26,36,124,113,12,18,5,0,3,6,0,0,9,35,0.159,0.228,0.283,0.511,37,32,1,1,1,0,0,Right,No
